                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90908,                0.43784,                 1.0217,                0.98114,                0.98036,                  0.992,                0.74561,                0.93326,                0.39587,                 1.0476,             0.00059737,             0.00059737,             0.00059737
                     36,                0.91951,                0.44161,                 1.0306,                0.98212,                0.98688,                0.99189,                0.74344,                0.92031,                0.39229,                 1.0355,             0.00059383,             0.00059383,             0.00059383
                     37,                0.88825,                 0.4331,                 1.0091,                0.97901,                0.98083,                0.99234,                0.75416,                 0.9229,                0.38529,                 1.0348,              0.0005903,              0.0005903,              0.0005903
                     38,                0.90776,                0.42712,                 1.0094,                0.97945,                0.98708,                0.99365,                0.75145,                0.92479,                0.38791,                 1.0285,             0.00058677,             0.00058677,             0.00058677
                     39,                0.90787,                 0.4357,                 1.0098,                0.97465,                0.98486,                  0.993,                0.74023,                0.92947,                0.39207,                 1.0337,             0.00058323,             0.00058323,             0.00058323
                     40,                0.88239,                0.43294,                 1.0078,                0.97799,                0.99092,                0.99081,                  0.746,                0.91349,                0.38074,                 1.0363,              0.0005797,              0.0005797,              0.0005797
                     41,                0.89364,                 0.4378,                 1.0112,                0.98397,                0.98495,                0.99327,                0.75129,                0.90867,                0.38296,                 1.0427,             0.00057616,             0.00057616,             0.00057616
                     42,                0.88397,                0.43145,                 1.0088,                0.98717,                0.98939,                0.99389,                 0.7542,                 0.9308,                 0.3865,                 1.0497,             0.00057263,             0.00057263,             0.00057263
                     43,                0.85308,                0.41915,                 1.0005,                0.97836,                 0.9828,                0.99295,                0.74859,                0.93046,                0.38544,                 1.0319,             0.00056909,             0.00056909,             0.00056909
                     44,                0.87917,                0.41607,                  0.996,                0.98745,                0.97998,                0.99364,                0.75652,                0.95231,                0.38321,                 1.0313,             0.00056556,             0.00056556,             0.00056556
                     45,                0.86237,                0.41537,                 1.0126,                0.98403,                0.98104,                0.99364,                0.75903,                0.91737,                0.38548,                 1.0366,             0.00056203,             0.00056203,             0.00056203
                     46,                0.87122,                0.41839,                0.99123,                0.98164,                0.98506,                0.99337,                0.75965,                0.90894,                0.37788,                 1.0319,             0.00055849,             0.00055849,             0.00055849
                     47,                0.85822,                0.40384,                 1.0073,                0.98031,                0.98618,                0.99185,                0.75523,                0.90184,                0.38495,                 1.0257,             0.00055496,             0.00055496,             0.00055496
                     48,                0.84763,                0.41632,                0.99601,                0.97644,                0.98457,                0.99181,                0.75703,                0.88933,                0.38622,                 1.0271,             0.00055142,             0.00055142,             0.00055142
                     49,                0.84538,                0.42141,                0.98913,                 0.9819,                0.98346,                0.99239,                0.75483,                0.88349,                0.38718,                  1.022,             0.00054789,             0.00054789,             0.00054789
                     50,                0.82431,                0.41034,                0.97875,                0.98337,                0.98346,                0.99344,                0.75569,                0.90707,                0.38404,                 1.0281,             0.00054435,             0.00054435,             0.00054435
                     51,                0.85175,                0.41784,                0.99166,                0.98345,                0.98165,                0.99102,                0.74759,                0.90198,                 0.3962,                 1.0234,             0.00054082,             0.00054082,             0.00054082
                     52,                0.84389,                0.40517,                 0.9861,                 0.9821,                0.98176,                0.99268,                0.75952,                0.89735,                0.38966,                  1.025,             0.00053728,             0.00053728,             0.00053728
                     53,                0.83108,                0.40036,                0.98352,                0.97837,                0.98333,                0.98923,                0.74478,                0.89099,                0.38398,                 1.0262,             0.00053375,             0.00053375,             0.00053375
                     54,                0.84202,                 0.4103,                0.99347,                0.98422,                0.98581,                0.99307,                0.75699,                0.89589,                 0.3717,                 1.0251,             0.00053022,             0.00053022,             0.00053022
                     55,                0.83227,                 0.4072,                0.98534,                0.98612,                0.98063,                0.99268,                 0.7521,                 0.9259,                0.37087,                 1.0257,             0.00052668,             0.00052668,             0.00052668
                     56,                0.83616,                0.39886,                0.97935,                0.98256,                0.98619,                0.99377,                0.74917,                0.89997,                0.36554,                 1.0223,             0.00052315,             0.00052315,             0.00052315
                     57,                0.82388,                0.39758,                0.98384,                0.98671,                0.98486,                0.99346,                 0.7517,                 0.8834,                0.37371,                 1.0198,             0.00051961,             0.00051961,             0.00051961
                     58,                0.82417,                0.39871,                0.98801,                 0.9847,                0.98477,                0.99243,                0.74599,                0.91171,                0.36698,                 1.0333,             0.00051608,             0.00051608,             0.00051608
                     59,                0.86407,                0.41114,                 1.0109,                0.97977,                0.98495,                0.99353,                0.76165,                0.89303,                0.36103,                 1.0274,             0.00051254,             0.00051254,             0.00051254
                     60,                0.83398,                0.39745,                 0.9923,                0.98267,                0.97751,                0.99346,                0.76078,                0.90313,                0.35762,                 1.0311,             0.00050901,             0.00050901,             0.00050901
                     61,                0.79241,                0.37983,                 0.9831,                0.98514,                0.98362,                0.99319,                0.76244,                0.89255,                 0.3578,                 1.0263,             0.00050548,             0.00050548,             0.00050548
                     62,                0.82808,                0.39516,                0.98367,                 0.9774,                0.98498,                0.98751,                0.75899,                0.87477,                0.37697,                  1.024,             0.00050194,             0.00050194,             0.00050194
                     63,                0.81966,                0.38875,                0.98656,                0.97936,                0.98519,                0.99234,                0.76578,                0.86786,                0.37682,                 1.0235,             0.00049841,             0.00049841,             0.00049841
                     64,                0.81955,                0.39366,                0.98349,                0.98015,                0.98346,                0.99282,                0.76014,                0.89007,                0.36716,                 1.0336,             0.00049487,             0.00049487,             0.00049487
                     65,                0.81594,                0.38854,                0.98242,                0.97381,                0.98852,                0.99341,                0.76322,                0.88045,                0.35667,                  1.015,             0.00049134,             0.00049134,             0.00049134
                     66,                0.80004,                0.38143,                0.96651,                0.97521,                0.98154,                0.98919,                  0.757,                0.88182,                0.36976,                  1.011,              0.0004878,              0.0004878,              0.0004878
                     67,                 0.7915,                0.37538,                0.96382,                0.98412,                0.98757,                0.99345,                0.76568,                0.86936,                0.36139,                 1.0143,             0.00048427,             0.00048427,             0.00048427
                     68,                0.79999,                0.38841,                0.97797,                0.98643,                0.98159,                0.99373,                0.76699,                0.88235,                0.37144,                 1.0236,             0.00048074,             0.00048074,             0.00048074
                     69,                0.81292,                 0.3896,                0.98444,                0.98806,                0.98886,                0.99436,                0.76377,                0.88367,                0.35291,                 1.0177,              0.0004772,              0.0004772,              0.0004772
                     70,                 0.7856,                0.38665,                0.96879,                 0.9868,                0.98893,                0.99419,                0.76743,                0.86799,                 0.3432,                 1.0238,             0.00047367,             0.00047367,             0.00047367
                     71,                0.79052,                0.36711,                0.96135,                0.98442,                0.98438,                0.99418,                 0.7681,                0.88505,                 0.3499,                 1.0225,             0.00047013,             0.00047013,             0.00047013
                     72,                0.79116,                0.37597,                0.96009,                 0.9831,                0.98866,                0.99392,                0.76975,                0.87284,                0.35263,                 1.0171,              0.0004666,              0.0004666,              0.0004666
                     73,                0.78763,                0.38484,                0.97341,                0.98627,                0.97985,                0.99362,                0.76629,                0.86571,                0.35849,                 1.0133,             0.00046306,             0.00046306,             0.00046306
                     74,                0.78148,                0.37697,                0.96129,                0.98741,                0.98325,                0.99395,                0.76968,                0.87215,                0.35042,                 1.0128,             0.00045953,             0.00045953,             0.00045953
                     75,                0.79999,                0.37634,                0.96967,                0.98115,                0.98899,                0.99352,                0.76089,                0.87672,                0.34809,                 1.0133,               0.000456,               0.000456,               0.000456
